From_Name,From_GPS_X,From_GPS_Y,To_Name,To_GPS_X,To_GPS_Y,Rounded_Distance_Miles,Description,Direction,Rounded_Traffic_Minutes,Traffic
Alhambra,34.095287,-118.1270146,Downtown Los Angeles,34.040713,-118.2467693,10,"I-10 W, San Bernardino Fwy",AM,35,medium
Whittier,33.9791793,-118.032844,Century City,34.0536608,-118.4133894,30,"CA-60 W, I-10 W",AM,87,heavy
West Covina,34.0686208,-117.9389526,Century City,34.0536608,-118.4133894,32,I-10 W,AM,90,heavy
Century City,34.0536608,-118.4133894,Downtown Los Angeles,34.040713,-118.2467693,13,I-10 E,AM,39,medium
Beverly Hills,34.0736204,-118.4003563,Downtown Los Angeles,34.040713,-118.2467693,13,"S La Cienega Blvd, I-10 E",AM,40,medium
Burbank,34.1808392,-118.3089661,Downtown Los Angeles,34.040713,-118.2467693,13,"I-5 S, CA-110 S",AM,46,medium
Carson,33.8316745,-118.281693,Downtown Los Angeles,34.040713,-118.2467693,18,I-110 N,AM,50,medium
Arcadia,34.1397292,-118.0353449,Downtown Los Angeles,34.040713,-118.2467693,22,"I-210 W, CA-134 W",AM,55,medium
Culver City,34.0211224,-118.3964665,Downtown Los Angeles,34.040713,-118.2467693,11,I-10 E,AM,33,medium
Downtown Los Angeles,34.040713,-118.2467693,Downtown Los Angeles,34.040713,-118.2467693,0,Same Location,AM,0,light
Compton,33.8958492,-118.2200712,Downtown Los Angeles,34.040713,-118.2467693,10,S Alameda St,AM,43,medium
Downey,33.9401088,-118.1331593,Downtown Los Angeles,34.040713,-118.2467693,14,"Stewart and Gray Rd, I-710 N",AM,41,medium
Cerritos,33.8583483,-118.0647871,Downtown Los Angeles,34.040713,-118.2467693,24,"I-105 W, I-710 N",AM,58,medium
Hancock Park,34.0723327,-118.3286614,Downtown Los Angeles,34.040713,-118.2467693,8,"Arlington Ave, I-10 E",AM,27,light
Glendale,34.1425078,-118.255075,Downtown Los Angeles,34.040713,-118.2467693,11,"CA-2 S, CA-110 S",AM,39,medium
Granada Hills,34.2793576,-118.5021527,Downtown Los Angeles,34.040713,-118.2467693,27,"CA-118 E, I-5 S",AM,69,heavy
El Monte,34.0686206,-118.0275667,Downtown Los Angeles,34.040713,-118.2467693,14,"I-10 W, San Bernardino Fwy",AM,44,medium
Koreatown,34.0609876,-118.3023579,Downtown Los Angeles,34.040713,-118.2467693,6,"S Normandie Ave, I-10 E",AM,19,light
